Moisture,Temperature,Humidity,Fertilizer
59,19,73,1
47,42,72,4
52,18,49,3
62,45,51,3
58,18,63,2
39,26,59,3
53,19,40,3
52,46,55,2
47,31,52,2
53,22,51,3
48,24,52,1
59,40,52,2
35,26,60,4
58,21,44,3
34,29,62,2
29,36,48,1
35,24,48,4
48,29,40,2
62,38,69,1
40,40,60,2
56,39,66,2
65,30,57,2
49,39,39,4
37,20,61,1
47,36,66,4
37,34,66,3
59,41,39,3
42,35,75,1
50,33,46,3
49,26,59,1
30,43,54,3
54,21,35,3
56,26,75,4
41,36,43,1
28,47,74,3
38,46,64,2
59,26,60,2
63,44,55,4
62,36,40,3
63,25,35,2
54,24,48,2
29,36,59,2
53,21,61,2
37,29,39,1
28,24,70,3
60,26,56,2
40,47,36,3
37,45,53,4
47,31,59,2
31,25,47,4
39,24,36,3
32,42,45,1
65,25,57,1
54,28,56,3
50,31,41,3
62,28,54,4
53,27,42,1
31,41,48,1
52,24,38,4
39,40,56,2
29,34,38,4
59,31,72,2
65,27,71,3
36,21,61,4
37,44,58,2
31,19,36,4
25,46,48,2
47,21,67,2
61,43,36,4
49,47,55,2
56,22,62,3
45,34,47,1
46,47,60,2
27,19,42,4
44,41,40,4
51,18,36,3
65,38,50,4
51,42,72,2
32,29,57,1
28,19,61,3
30,26,70,3
48,28,69,2
60,28,55,3
39,31,42,3
34,37,66,3
59,30,67,3
51,34,74,3
58,34,73,2
63,29,47,4
58,21,64,4
65,47,41,2
30,31,62,1
34,30,44,3
41,46,67,3
60,18,50,3
42,19,37,2
65,31,70,3
26,34,42,3
61,23,61,1
61,47,69,1
34,27,52,4
40,40,46,2
43,29,66,1
64,39,63,3
33,43,56,2
53,35,43,4
38,45,53,1
31,33,42,1
65,21,59,3
59,24,38,1
42,31,63,2
54,39,67,3
45,37,52,2
28,18,58,4
42,33,55,1
41,41,44,1
55,34,48,2
60,47,64,2
42,46,56,3
28,20,69,1
63,45,53,3
33,45,63,1
41,28,58,1
37,37,35,4
27,28,45,1
41,33,75,1
39,37,37,3
36,37,49,2
50,29,59,4
34,44,65,3
38,32,75,1
46,33,48,2
44,29,72,4
49,28,44,4
31,36,46,2
49,38,75,4
44,27,58,4
48,27,47,3
32,34,37,4
27,42,62,1
53,19,54,2
26,34,54,4
31,36,61,1
36,40,47,4
49,19,66,2
29,37,73,4
43,21,62,4
60,36,68,1
62,35,72,1
25,41,39,4
39,44,60,2
53,18,59,3
59,29,51,1
49,30,63,4
55,24,75,3
30,29,37,2
49,21,35,3
60,26,54,2
52,36,36,2
64,44,43,2
34,25,59,4
35,27,46,2
46,36,51,2
49,18,36,3
64,29,63,3
36,44,40,2
34,37,40,4
25,33,57,3
51,42,40,4
56,19,58,1
40,25,39,4
29,40,75,2
42,47,39,2
49,30,73,2
34,44,39,4
54,20,65,4
42,22,52,3
58,26,46,1
30,29,74,4
45,37,49,3
39,38,61,1
64,35,53,4
25,35,64,1
58,27,64,2
55,38,68,4
54,33,39,1
54,28,54,4
54,37,66,2
27,34,54,4
34,23,65,3
62,45,62,4
41,41,70,3
54,29,52,1
29,21,53,1
56,47,45,1
35,45,50,3
39,24,45,3
30,25,53,1
62,30,36,2
50,46,75,4
46,20,64,3
39,27,60,2
42,39,51,2
56,32,44,2
43,20,44,1
42,37,37,2
51,39,58,4
52,33,38,1
54,39,38,4
44,33,35,1
64,26,61,4
44,30,69,4
43,41,42,2
31,36,60,4
60,34,36,2
48,25,42,2
25,27,47,2
29,28,74,4
59,32,73,4
35,21,37,1
54,28,72,1
57,30,43,3
35,29,44,4
61,35,43,1
61,22,62,1
48,37,57,3
39,27,52,1
37,47,72,4
43,23,69,3
43,36,57,1
42,25,51,3
34,19,72,3
49,44,46,3
63,39,45,4
25,41,72,3
65,41,73,4
50,22,37,3
65,30,69,4
34,46,42,1
38,22,58,3
27,45,62,1
29,29,58,4
32,37,55,2
48,40,38,2
30,23,45,2
53,35,62,1
49,43,41,1
41,44,60,3
62,46,38,2
53,31,40,2
48,41,57,2
32,33,53,2
37,41,65,3
60,20,63,2
34,35,41,1
44,35,59,4
33,30,68,2
57,36,73,1
37,40,57,4
46,27,57,1
59,23,68,1
28,22,52,4
39,38,38,2
61,25,57,2
54,23,39,1
65,20,41,4
39,38,63,3
36,40,43,4
63,43,62,3
37,35,66,4
63,28,65,2
31,21,67,2
39,29,42,4
54,36,56,3
25,26,71,4
45,24,46,4
51,35,55,2
56,19,55,2
29,45,72,2
48,35,58,2
35,27,42,3
35,25,74,4
59,35,45,3
26,26,42,3
59,45,74,1
62,20,45,1
61,29,53,2
30,19,49,3
65,44,52,4
28,22,59,3
48,36,47,3
63,27,46,3
58,34,74,3
28,18,39,2
41,29,41,4
29,27,51,3
49,33,42,4
54,21,68,1
50,31,66,2
48,37,42,2
39,36,36,4
58,25,63,4
43,38,41,2
46,44,58,3
64,37,53,3
29,38,63,2
65,40,65,3
44,43,50,1
61,19,65,2
41,20,44,1
44,25,70,3
63,28,45,3
44,44,38,4
41,18,47,3
33,45,62,4
34,40,36,1
28,18,41,4
30,42,62,2
63,26,53,3
48,42,60,3
49,42,60,3
41,19,51,2
31,23,59,4
65,32,55,1
29,25,62,3
47,40,55,2
35,20,53,1
25,34,46,1
65,20,66,4
47,40,40,2
48,36,65,2
57,42,40,2
40,43,56,3
56,27,61,2
61,46,48,4
34,24,47,2
43,25,66,2
35,45,45,4
61,39,44,3
44,44,66,3
26,46,36,3
37,42,42,3
55,32,51,1
55,31,67,4
49,43,49,2
42,29,72,1
51,42,35,3
63,26,58,3
40,23,73,2
64,39,63,1
41,25,64,3
26,44,37,2
41,41,45,2
27,36,45,3
28,43,63,1
59,33,68,3
33,35,73,3
56,25,40,3
65,35,63,2
62,22,57,3
63,36,45,1
46,26,48,3
52,43,46,1
54,20,63,4
33,44,42,4
63,39,75,3
32,44,66,4
31,18,63,2
